Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry,Sector,Revenue,Rev. Growth,Net Income,Free_Cash_Flow
CBRE,PT Cakra Buana Resources Energi Tbk,5.31T,"1,170.00","80,401,200",Marine Shipping,Industrials,68.76B,52.50%,-52.27B,-7.16B
ADES,PT Akasha Wira International Tbk,9.05T,"15,500.0","74,1",Beverages - Non-Alcoholic,Consumer Staples,2.47T,39.78%,665.73B,340.20B
MARK,PT Mark Dynamics Indonesia Tbk,2.60T,685.00,"20,042,000",Medical Instruments & Supplies,Healthcare,806.55B,-5.83%,269.52B,265.04B
POLI,PT Pollux Hotels Group Tbk,1.53T,760.00,"15,1",Real Estate - Development,Real Estate,689.47B,84.26%,89.59B,-37.84B
WOOD,PT Integra Indocabinet Tbk,2.79T,442.00,"1,541,700","Furnishings, Fixtures & Appliances",Consumer Discretionary,2.81T,7.22%,168.69B,58.89B
PNBS,PT Bank Panin Dubai Syariah Tbk,2.02T,52.00,"18,952,500",Banks - Regional,Financials,454.78B,-13.91%,38.50B,917.15B
STTP,PT Siantar Top Tbk,13.23T,"10,075.0",9,Packaged Foods,Consumer Staples,5.12T,5.69%,1.18T,859.42B
BEEF,PT Estika Tata Tiara Tbk,4.18T,515.00,"8,724,300",Packaged Foods,Consumer Staples,7.30T,154.26%,162.24B,-47.38B
WIFI,PT Solusi Sinergi Digital Tbk,17.31T,"3,260.00","91,397,000",Information Technology Services,Technology,876.31B,66.03%,369.24B,"-1,719.44B"
EMTK,PT Elang Mahkota Teknologi Tbk,74.29T,"1,215.00","89,036,900",Broadcasting,Communication Services,17.28T,54.31%,7.46T,712.65B
BRPT,PT Barito Pacific Tbk,327.97T,"3,560.00","72,579,300",Chemicals,Materials,104.71T,169.82%,10.21T,"-3,627.92B"
SRAJ,PT Sejahteraraya Anugrahjaya Tbk,144.01T,"12,000.0","449,7",Medical Care Facilities,Healthcare,3.07T,16.50%,-120.22B,-441.82B
