Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry,Sector,Revenue,Rev. Growth,Net Income,Free_Cash_Flow
BIPI,PT Astrindo Nusantara Infrastruktur Tbk,5.10T,80.00,"277,597,900",Infrastructure Operations,Industrials,5.67T,-41.00%,-41.01B,"-2,000.09B"
LPKR,PT Lippo Karawaci Tbk,6.17T,87.00,"39,414,000",Medical Care Facilities,Healthcare,8.56T,-37.22%,395.84B,-758.53B
MDLA,PT Medela Potentia Tbk,3.28T,234.00,"2,220,000",Medical Distribution,Healthcare,14.87T,27.18%,380.49B,320.35B
TRST,PT Trias Sentosa Tbk,1.34T,478.00,"7,9",Packaging & Containers,Consumer Discretionary,3.60T,4.31%,38.83B,-24.62B
CFIN,PT. Clipan Finance Indonesia Tbk,1.27T,318.00,"2,469,700",Credit Services,Financials,567.01B,-29.23%,189.80B,668.94B
ERAA,PT Erajaya Swasembada Tbk,6.63T,420.00,"17,209,600",Specialty Retail,Consumer Discretionary,69.04T,4.71%,1.03T,1.48T
ADMR,PT Alamtri Minerals Indonesia Tbk,56.01T,"1,375.00","41,985,300",Coking Coal,Materials,16.50T,-18.07%,5.14T,"-5,827.14B"
BBLD,PT Buana Finance Tbk,1.50T,905.00,6,Credit Services,Financials,794.31B,79.14%,43.33B,-784.35B
VOKS,PT Voksel Electric Tbk,1.14T,274.00,"337,1",Electrical Equipment & Parts,Industrials,1.98T,-18.49%,-110.38B,99.15B
MPMX,PT Mitra Pinasthika Mustika Tbk,4.20T,960.00,"1,589,900",Auto & Truck Dealerships,Consumer Discretionary,15.41T,1.41%,548.37B,128.59B
IPTV,PT MNC Vision Networks Tbk,1.69T,40.00,"2,657,800",Entertainment,Communication Services,1.63T,4.55%,-187.73B,367.59B
DMMX,PT Digital Mediatama Maxima Tbk,2.73T,376.00,"1,114,100",Advertising Agencies,Communication Services,755.61B,-42.84%,23.65B,26.01B
WIRG,PT WIR ASIA Tbk,1.23T,105.00,"179,526,400",Information Technology Services,Technology,2.61T,3.86%,78.78B,33.76B
TOTL,PT Total Bangun Persada Tbk,3.10T,905.00,"1,153,600",Engineering & Construction,Industrials,3.65T,15.25%,380.34B,578.45B
BEST,PT Bekasi Fajar Industrial Estate Tbk,1.04T,108.00,"4,074,400",Real Estate Services,Real Estate,389.35B,-12.99%,7.66B,77.96B
ISAT,PT Indosat Ooredoo Hutchison Tbk,62.73T,"1,945.00","8,165,900",Telecom Services,Communication Services,55.24T,-0.62%,4.62T,5.81T
CDIA,PT Chandra Daya Investasi TBK.,200.54T,"1,805.00","78,146,500",Electric Services,-,2.22T,61.21%,1.45T,"-2,525.26B"
BUKA,PT Bukalapak.com Tbk.,15.50T,164.00,"134,925,500",Internet Retail,Consumer Discretionary,5.79T,28.64%,1.96T,266.04B
CTBN,PT Citra Tubindo Tbk,4.18T,"5,225.00",400,Oil & Gas Equipment & Services,Energy,5.07T,33.25%,485.36B,619.17B
SFAN,PT Surya Fajar Capital Tbk,2.60T,"1,920.00","88,7",Asset Management,Financials,7.58B,60.83%,-19.07B,-30.08B
RATU,PT Raharja Energi Cepu Tbk,21.99T,"8,125.00","14,727,200",Oil & Gas Exploration & Production,Energy,891.78B,-13.47%,229.27B,315.33B
COIN,PT Indokripto Koin Semesta Tbk,36.91T,"3,130.00","296,214,000",Financial Data & Stock Exchanges,Financials,296.12B,"822,449.37%",91.65B,65.05B
JTPE,PT Jasuindo Tiga Perkasa Tbk,2.54T,370.00,"1,000,800",Specialty Business Services,Industrials,2.25T,20.69%,271.37B,538.61B
PTBA,PT Bukit Asam Tbk,27.40T,"2,380.00","10,530,900",Thermal Coal,Energy,43.57T,10.95%,3.90T,2.40T
BBNI,PT Bank Negara Indonesia (Persero) Tbk,165.79T,"4,460.00","43,447,700",Banks - Regional,Financials,50.08T,1.35%,20.27T,"-79,206.14B"
PTRO,PT Petrosea Tbk,76.65T,"7,600.00","76,693,400",Other Industrial Metals & Mining,Materials,13.10T,17.35%,229.80B,"-7,088.67B"
SMGR,PT Semen Indonesia (Persero) Tbk,18.66T,"2,800.00","3,999,100",Building Materials,Materials,35.38T,-6.96%,258.26B,3.20T
OASA,PT Maharaksa Biru Energi Tbk,1.32T,206.00,"23,383,600",Utilities - Renewable,Utilities,46.83B,-27.31%,-76.82B,-86.19B
WIKA,PT Wijaya Karya (Persero) Tbk,8.13T,204.00,"19,976,800",Engineering & Construction,Industrials,15.79T,-15.59%,"-6,220.01B",-827.41B
LPGI,PT Lippo General Insurance Tbk,2.30T,765.00,"14,5",Insurance - Diversified,Financials,3.26T,15.53%,137.80B,335.12B
IFII,PT Indonesia Fibreboard Industry Tbk,2.15T,226.00,"113,1",Lumber & Wood Production,Materials,1.35T,11.37%,214.41B,297.91B
FASW,PT Fajar Surya Wisesa Tbk,13.50T,"5,450.00",100,Packaging & Containers,Consumer Discretionary,7.94T,3.57%,"-1,030.58B","-1,209.58B"
FPNI,PT Lotte Chemical Titan Tbk,1.78T,354.00,"168,833,300",Specialty Chemicals,Materials,5.35T,-12.77%,3.05B,344.65B
DVLA,PT Darya-Varia Laboratoria Tbk,1.85T,"1,650.00","25,2",Drug Manufacturers - Specialty & Generic,Healthcare,2.12T,-0.51%,173.09B,82.66B
SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk,4.14T,292.00,"390,4",Banks - Regional,Financials,1.47T,-17.71%,76.89B,2.34T
BIRD,PT Blue Bird Tbk,4.50T,"1,800.00","4,591,900",Railroads,Industrials,5.50T,13.15%,631.49B,-797.03B
GOOD,PT Garudafood Putra Putri Jaya Tbk,13.42T,366.00,"178,4",Packaged Foods,Consumer Staples,12.77T,9.97%,603.76B,519.09B
MAPB,PT Map Boga Adiperkasa Tbk,3.86T,"1,630.00","17,8",Restaurants,Consumer Discretionary,3.16T,-5.61%,-175.71B,299.31B
ESSA,PT ESSA Industries Indonesia Tbk.,10.59T,620.00,"12,738,800",Chemicals,Materials,4.53T,-20.68%,549.46B,1.31T
UCID,PT Uni-Charm Indonesia Tbk,1.85T,442.00,"1,021,500",Household & Personal Products,Consumer Staples,8.90T,-7.79%,20.66B,-229.62B
SGRO,PT Sampoerna Agro Tbk,9.18T,"5,050.00",856,Farm Products,Consumer Staples,6.72T,25.79%,1.13T,1.17T
FOLK,PT Multi Garam Utama Tbk,1.17T,284.00,"7,462,100",Internet Retail,Consumer Discretionary,19.88B,-15.20%,-15.55B,-1.88B
FUTR,PT Lini Imaji Kreasi Ekosistem Tbk,4.94T,745.00,"155,248,900",Utilities - Renewable,Utilities,64.49B,-35.58%,7.76B,21.58B
SCMA,PT Surya Citra Media Tbk,23.10T,360.00,"52,574,200",Broadcasting,Communication Services,6.96T,1.38%,677.08B,644.24B
CBUT,PT Citra Borneo Utama Tbk,4.13T,"1,310.00","14,7",Packaged Foods,Consumer Staples,13.28T,33.18%,99.89B,-804.97B
PANS,PT Panin Sekuritas Tbk,1.03T,"1,450.00",90,Capital Markets,Financials,356.79B,1.57%,96.67B,109.33B
ADHI,PT Adhi Karya (Persero) Tbk,2.25T,266.00,"8,215,400",Engineering & Construction,Industrials,9.84T,-44.65%,187.60B,877.43B
GMTD,PT Gowa Makassar Tourism Development Tbk,2.26T,"2,210.00",300,Real Estate - Development,Real Estate,272.07B,-45.71%,23.91B,119.52B
PSSI,PT IMC Pelita Logistik Tbk,1.83T,344.00,"192,8",Marine Shipping,Industrials,1.06T,-25.86%,27.74B,126.35B
FUJI,PT Fuji Finance Indonesia Tbk,936.00B,700.00,"1,152,300",Credit Services,Financials,18.93B,107.96%,12.70B,21.26B
ENAK,PT Champ Resto Indonesia Tbk,1.46T,680.00,"2,035,400",Restaurants,Consumer Discretionary,1.46T,-6.42%,-38.93B,-24.53B
BUKK,PT Bukaka Teknik Utama Tbk.,2.61T,990.00,"197,5",Engineering & Construction,Industrials,2.94T,-21.91%,560.58B,-37.14B
BBHI,PT Allo Bank Indonesia Tbk,32.05T,"1,475.00","833,7",Banks - Regional,Financials,1.50T,23.17%,544.40B,"-3,289.77B"
MINA,PT Sanurhasta Mitra Tbk,1.74T,176.00,"39,829,700",Lodging,Consumer Discretionary,10.14B,24.88%,-7.06B,-2.37B
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk,21.79T,"7,025.00","718,1",Paper & Paper Products,Materials,16.10T,-5.47%,6.81T,1.85T
MFMI,PT Multifiling Mitra Indonesia Tbk,984.86B,"1,300.00","3,7",Specialty Business Services,Industrials,177.32B,-0.62%,15.82B,-399.32B
MSJA,PT Multi Spunindo Jaya Tbk,1.72T,292.00,"6,273,900",Textile Manufacturing,Consumer Discretionary,1.10T,-2.91%,81.43B,38.06B
BOLA,PT Bali Bintang Sejahtera Tbk,1.08T,179.00,"152,2",Entertainment,Communication Services,363.15B,10.77%,30.15B,-56.12B
TEBE,PT Dana Brata Luhur Tbk,2.87T,"2,280.00","8,746,700",Infrastructure Operations,Industrials,497.75B,-11.99%,127.73B,183.73B
MORA,PT Mora Telematika Indonesia Tbk,46.47T,"1,965.00","909,7",Telecom Services,Communication Services,3.79T,-4.10%,278.82B,556.31B
MMLP,PT Mega Manunggal Property Tbk,3.86T,560.00,"4,223,700",Real Estate Services,Real Estate,373.88B,-0.30%,244.65B,118.50B
AMOR,PT Ashmore Asset Management Indonesia Tbk,923.44B,420.00,"652,8",Asset Management,Financials,266.67B,-17.77%,72.39B,66.22B
SKLT,PT Sekar Laut Tbk,1.35T,216.00,"555,9",Packaged Foods,Consumer Staples,2.57T,23.37%,132.79B,-50.86B
NSSS,PT Nusantara Sawit Sejahtera Tbk,11.85T,498.00,"3,451,500",Farm Products,Consumer Staples,2.03T,62.47%,723.36B,709.35B
TOWR,PT Sarana Menara Nusantara Tbk.,31.43T,540.00,"9,186,400",Telecom Services,Communication Services,12.97T,4.04%,3.44T,6.68T
CARE,PT Metro Healthcare Indonesia Tbk,10.84T,326.00,"24,643,200",Medical Care Facilities,Healthcare,315.90B,2.33%,-8.60B,-196.72B
MLPT,PT Multipolar Technology Tbk,148.88T,"79,775.0","6,6",Information Technology Services,Technology,3.98T,16.49%,315.34B,237.26B
TGKA,PT Tigaraksa Satria Tbk,4.87T,"5,300.00","1,7",Food Distribution,Consumer Staples,12.81T,-4.75%,385.14B,416.40B
BVIC,PT Bank Victoria International Tbk,1.84T,102.00,"4,385,000",Banks - Regional,Financials,788.36B,22.01%,165.06B,"-1,303.44B"
RISE,PT Jaya Sukses Makmur Sentosa Tbk,91.39T,"8,000.00","1,904,400",Real Estate - Development,Real Estate,438.59B,54.73%,61.80B,14.12B
WIIM,PT Wismilak Inti Makmur Tbk,3.16T,"1,530.00","33,392,800",Tobacco,Consumer Staples,3.34T,25.09%,376.14B,116.73B
BUMI,PT Bumi Resources Tbk,51.99T,142.00,"835,782,800",Thermal Coal,Energy,23.40T,3.76%,48.23B,-451.78B
ADMF,PT Adira Dinamika Multi Finance Tbk,10.97T,"8,850.00","48,1",Credit Services,Financials,7.09T,-6.54%,1.23T,1.64T
MAPI,PT. Mitra Adiperkasa Tbk,23.41T,"1,410.00","68,055,700",Department Stores,Consumer Discretionary,40.26T,10.32%,1.84T,3.26T
KIJA,PT Kawasan Industri Jababeka Tbk,3.95T,192.00,"9,293,100",Real Estate - Development,Real Estate,4.91T,11.93%,152.01B,1.93T
BUDI,PT Budi Starch & Sweetener Tbk,1.01T,224.00,"1,046,700",Packaged Foods,Consumer Staples,3.20T,-14.24%,88.64B,-621.67B
GOLF,PT Intra Golflink Resorts Tbk,3.90T,199.00,"247,6",Leisure,Consumer Discretionary,208.15B,18.72%,71.06B,-153.30B
MMIX,PT Multi Medika Internasional Tbk,1.22T,254.00,"8,020,000","Drugs, Drug Proprietaries, and Druggists' Sundries",-,236.80B,84.29%,21.89B,9.44B
NIKL,PT Pelat Timah Nusantara Tbk,963.92B,382.00,"20,459,100",Manufacturing - Metal Fabrication,Industrials,2.26T,-15.04%,21.47B,444.27B
BABY,PT Multitrend Indo Tbk,1.26T,408.00,"39,394,700",Apparel Retail,Consumer Discretionary,1.07T,2.00%,-42.34B,138.18B
UDNG,PT Agro Bahari Nusantara Tbk,6.09T,"3,820.00","880,2",Farm Products,Consumer Staples,14.65B,158.37%,-588.37M,-4.07B
SHIP,PT Sillo Maritime Perdana Tbk,14.62T,"5,350.00","21,8",Oil & Gas Equipment & Services,Energy,3.00T,3.37%,333.86B,794.82B
MGRO,PT Mahkota Group Tbk,2.69T,770.00,"6,048,500",Packaged Foods,Consumer Staples,6.42T,45.14%,19.03B,-198.94B
ARCI,PT Archi Indonesia Tbk,28.81T,"1,150.00","136,878,900",Gold,Materials,6.69T,37.04%,1.42T,401.70B
BJBR,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,8.47T,805.00,"3,042,800",Banks - Regional,Financials,8.38T,5.11%,997.16B,"-6,745.41B"
DGWG,PT Delta Giri Wacana Tbk,2.44T,414.00,"4,376,400",Agricultural Inputs,Materials,3.61T,14.94%,188.83B,-277.35B
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk,1.92T,128.00,"12,144,600",Auto & Truck Dealerships,Consumer Discretionary,5.09T,-20.93%,208.59B,88.33B
INTP,PT Indocement Tunggal Prakarsa Tbk,20.85T,"6,225.00","1,284,200",Building Materials,Materials,18.14T,-1.08%,2.02T,2.82T
BRIS,PT Bank Syariah Indonesia Tbk,115.32T,"2,500.00","27,036,100",Banks - Regional,Financials,23.21T,17.45%,7.47T,7.44T
CPRO,PT Central Proteina Prima Tbk,3.63T,61.00,"65,927,800",Farm Products,Consumer Staples,9.73T,6.34%,404.22B,356.81B
MTDL,PT Metrodata Electronics Tbk,7.37T,600.00,"3,260,700",Electronics & Computer Distribution,Technology,26.71T,10.27%,754.01B,-198.20B
RDTX,PT Roda Vivatex Tbk,3.25T,"12,400.0","1,3",Real Estate Services,Real Estate,558.95B,5.52%,350.05B,240.17B
CITY,PT Natura City Developments Tbk,929.69B,172.00,"4,404,900",Real Estate - Development,Real Estate,140.20B,-0.20%,16.66B,-59.96B
NCKL,PT Trimegah Bangun Persada Tbk,71.30T,"1,130.00","159,802,400",Other Industrial Metals & Mining,Materials,28.99T,6.95%,7.99T,6.46T
MTLA,PT Metropolitan Land Tbk,3.29T,430.00,"6,5",Real Estate Services,Real Estate,1.85T,7.00%,387.87B,62.39B
TOBA,PT TBS Energi Utama Tbk,6.73T,815.00,"70,675,600",Thermal Coal,Energy,6.63T,-15.05%,"-2,232.34B",-608.96B
HILL,PT Hillcon Tbk,2.37T,160.00,"1,586,500",Other Industrial Metals & Mining,Materials,4.01T,3.09%,-110.61B,-495.48B
PRAY,PT Famon Awal Bros Sedaya Tbk,11.45T,820.00,"86,5",Medical Care Facilities,Healthcare,2.30T,12.81%,147.92B,-662.36B
SAMF,"PT Saraswanti Anugerah Makmur, Tbk",3.22T,310.00,"161,8",Agricultural Inputs,Materials,4.06T,-5.65%,265.99B,540.51B
BSDE,PT Bumi Serpong Damai Tbk,19.97T,955.00,"8,333,200",Real Estate - Development,Real Estate,12.49T,-12.63%,3.02T,"-1,467.60B"
PGAS,PT Perusahaan Gas Negara Tbk,41.33T,"1,705.00","36,438,900",Utilities - Regulated Gas,Utilities,65.01T,3.25%,5.24T,7.85T
GDST,PT Gunawan Dianjaya Steel Tbk,1.08T,117.00,"1,159,300",Steel,Materials,2.32T,-13.37%,102.04B,-229.04B
CLEO,PT Sariguna Primatirta Tbk,12.36T,520.00,"4,251,200",Beverages - Non-Alcoholic,Consumer Staples,2.77T,14.75%,442.85B,69.65B
GHON,PT Gihon Telekomunikasi Indonesia Tbk,935.00B,"1,715.00","11,2",Telecom Services,Communication Services,210.40B,-1.53%,85.46B,63.51B
TAMU,PT Pelayaran Tamarin Samudra Tbk,1.13T,33.00,"16,065,200",Marine Shipping,Industrials,-145.09B,-54.71%,-227.15B,-183.89B
CITA,PT Cita Mineral Investindo Tbk,19.01T,"4,720.00","155,1",Other Industrial Metals & Mining,Materials,2.60T,3.58%,2.97T,300.98B
PANI,PT Pantai Indah Kapuk Dua Tbk,241.44T,"14,300.0","3,521,900",Real Estate - Development,Real Estate,3.84T,52.26%,928.61B,570.92B
SMDM,PT Suryamas Dutamakmur Tbk,3.96T,815.00,"164,3",Real Estate - Development,Real Estate,348.88B,-50.09%,17.21B,-138.95B
TCPI,PT Transcoal Pacific Tbk,41.38T,"8,350.00","6,477,600",Marine Shipping,Industrials,1.93T,3.14%,190.55B,236.94B
BHAT,PT Bhakti Multi Artha Tbk,4.95T,990.00,"1,460,600",Insurance - Life,Financials,171.78B,-53.27%,-349.52M,-23.95B
INCO,PT Vale Indonesia Tbk,49.12T,"4,660.00","9,263,100",Other Industrial Metals & Mining,Materials,15.81T,-5.56%,986.44B,"-3,787.04B"
NICE,PT Adhi Kartiko Pratama Tbk,2.51T,412.00,"2,803,200",Other Industrial Metals & Mining,Materials,1.00T,26.49%,137.23B,-130.27B
BNBR,PT Bakrie & Brothers Tbk,6.94T,39.00,"11,379,200",Conglomerates,Industrials,3.86T,7.54%,243.63B,144.50B
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk,3.23T,86.00,"7,768,700",Aerospace & Defense,Industrials,6.23T,-9.24%,362.78B,319.79B
BCAP,PT MNC Kapital Indonesia Tbk,2.34T,55.00,"9,977,500",Financial Conglomerates,Financials,2.49T,25.20%,133.26B,2.45T
BLOG,PT Trimitra Trans Persada Tbk,1.69T,500.00,905,Integrated Freight & Logistics,Industrials,1.25T,29.16%,132.73B,-109.01B
ADCP,PT Adhi Commuter Properti Tbk,1.18T,54.00,"17,247,100",Real Estate - Development,Real Estate,185.63B,-62.17%,7.70B,-
MLIA,PT Mulia Industrindo Tbk,2.28T,340.00,"1,647,100",Construction,Industrials,4.15T,-9.08%,68.45B,-205.73B
APIC,PT Pacific Strategic Financial Tbk,13.30T,"1,130.00","5,339,900",Insurance - Life,Financials,2.10T,16.50%,96.55B,-406.39B
IMPC,PT Impack Pratama Industri Tbk,141.10T,"2,600.00","45,775,000",Building Products & Equipment,Industrials,3.98T,-1.27%,562.27B,551.77B
POWR,PT Cikarang Listrindo Tbk,11.08T,700.00,"7,686,700",Utilities - Independent Power Producers,Utilities,9.18T,0.49%,1.00T,1.47T
TMAS,PT Temas Tbk.,7.39T,130.00,"1,238,700",Marine Shipping,Industrials,4.31T,0.08%,634.12B,-704.53B
MNCN,PT. Media Nusantara Citra Tbk,3.49T,264.00,"23,585,500",Advertising Agencies,Communication Services,7.90T,2.53%,909.04B,342.87B
KEJU,PT Mulia Boga Raya Tbk,4.19T,745.00,"864,4",Packaged Foods,Consumer Staples,1.41T,15.29%,181.23B,146.31B
JARR,PT Jhonlin Agro Raya Tbk,34.25T,"3,700.00","13,085,200",Farm Products,Consumer Staples,4.32T,8.49%,329.38B,247.86B
APLN,PT Agung Podomoro Land Tbk,2.22T,97.00,"6,990,200",Real Estate - Development,Real Estate,5.38T,14.61%,552.81B,1.20T
SIPD,PT Sreeya Sewu Indonesia Tbk,1.31T,710.00,100,Farm Products,Consumer Staples,5.29T,-3.94%,22.01B,-62.35B
CSAP,PT Catur Sentosa Adiprana Tbk,1.86T,324.00,"1,075,300",Industrial Distribution,Industrials,17.42T,2.04%,121.00B,478.69B
MCOR,PT Bank China Construction Bank Indonesia Tbk,2.81T,74.00,"1,392,900",Banks - Regional,Financials,959.34B,7.35%,305.29B,"-1,333.18B"
NISP,PT Bank OCBC NISP Tbk,31.55T,"1,375.00","1,733,900",Banks - Regional,Financials,12.89T,7.24%,4.87T,"-27,458.69B"
PSKT,PT Red Planet Indonesia Tbk,1.38T,128.00,"4,299,800",Lodging,Consumer Discretionary,53.47B,-0.43%,-9.42B,3.01B
AMRT,PT Sumber Alfaria Trijaya Tbk,78.90T,"1,935.00","50,367,700",Grocery Stores,Consumer Staples,124.49T,8.12%,3.06T,4.60T
EURO,PT Estee Gold Feet Tbk,912.48B,358.00,"74,5",Household & Personal Products,Consumer Staples,23.20B,-13.92%,1.52B,10.01B
SMMA,PT Sinar Mas Multiartha Tbk,82.94T,"13,025.0","29,4",Insurance - Diversified,Financials,28.02T,6.06%,3.00T,4.22T
MBAP,PT Mitrabara Adiperdana Tbk,1.96T,"1,600.00","206,4",Thermal Coal,Energy,2.83T,-23.56%,57.06B,-736.79B
GWSA,PT Greenwood Sejahtera Tbk,1.13T,145.00,"313,3",Real Estate - Development,Real Estate,67.07B,-15.90%,71.04B,-110.40B
IFSH,PT Ifishdeco Tbk,1.49T,775.00,"61,1",Other Industrial Metals & Mining,Materials,932.23B,-18.58%,62.09B,-4.48B
DNET,PT Indoritel Makmur Internasional Tbk.,127.66T,"8,950.00","6,3",Telecom Services,Communication Services,1.59T,12.32%,1.17T,-781.64B
DLTA,PT Delta Djakarta Tbk,1.69T,"2,120.00","118,6",Beverages - Brewers,Consumer Staples,648.26B,-4.19%,141.74B,170.02B
TRIM,PT Trimegah Sekuritas Indonesia Tbk,3.80T,530.00,"1,020,100",Financial - Capital Markets,Financials,1.29T,33.20%,480.59B,"-1,525.92B"
MBMA,PT Merdeka Battery Materials Tbk.,69.66T,645.00,"162,917,800",Other Precious Metals & Mining,Materials,25.17T,-18.34%,133.81B,"-1,401.81B"
CMRY,PT Cisarua Mountain Dairy Tbk,47.61T,"6,000.00","10,382,800",Packaged Foods,Consumer Staples,10.26T,18.39%,1.96T,1.58T
BMTR,PT Global Mediacom Tbk,2.32T,142.00,"19,843,300",Entertainment,Communication Services,9.81T,1.22%,524.87B,735.56B
ARKO,PT. Arkora Hydro Tbk,4.70T,"1,605.00","502,2",Utilities - Renewable,Utilities,332.84B,63.56%,48.92B,-108.40B
SONA,PT Sona Topas Tourism Industry Tbk,1.78T,"2,680.00","59,4",Travel Services,Consumer Discretionary,882.17B,6.03%,72.37B,162.22B
DAYA,PT Duta Intidaya Tbk,3.07T,"1,260.00","10,1",Specialty Retail,Consumer Discretionary,2.59T,37.03%,71.89B,76.38B
WOMF,PT Wahana Ottomitra Multiartha Tbk,1.16T,334.00,"150,7",Credit Services,Financials,1.37T,3.62%,215.01B,-17.17B
MKTR,PT Menthobi Karyatama Raya Tbk,1.78T,148.00,"958,1",Farm Products,Consumer Staples,1.19T,25.58%,70.87B,17.80B
CLAY,PT Citra Putra Realty Tbk,7.20T,"2,810.00","118,7",Lodging,Consumer Discretionary,176.72B,-25.90%,-1.41B,47.26B
JRPT,"PT Jaya Real Property, Tbk.",11.10T,860.00,807,Real Estate - Development,Real Estate,3.13T,15.51%,1.21T,1.04T
PNIN,PT Paninvest Tbk,3.28T,805.00,"900,9",Insurance - Life,Financials,10.38T,-0.73%,1.01T,2.85T
ANJT,PT Austindo Nusantara Jaya Tbk,7.25T,"2,160.00","1,358,800",Farm Products,Consumer Staples,4.28T,12.13%,523.87B,340.51B
UANG,PT Pakuan Tbk,2.37T,"1,955.00","1,245,000",Leisure,Consumer Discretionary,140.15B,329.27%,-33.64B,-62.61B
NOBU,PT Bank Nationalnobu Tbk,3.81T,505.00,"2,713,100",Banks - Regional,Financials,1.43T,34.51%,462.63B,"-5,340.85B"
LPPF,PT Matahari Department Store Tbk,3.81T,"1,720.00","2,531,600",Department Stores,Consumer Discretionary,5.91T,-8.76%,806.53B,1.39T
BUVA,PT Bukit Uluwatu Villa Tbk,15.44T,745.00,"66,332,400",Lodging,Consumer Discretionary,371.79B,1.90%,102.78B,84.58B
SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk,16.97T,580.00,"18,913,500",Drug Manufacturers - Specialty & Generic,Healthcare,4.02T,4.96%,1.21T,1.22T
ABMM,PT ABM Investama Tbk,8.26T,"3,000.00","1,502,900",Thermal Coal,Energy,18.16T,-13.14%,1.17T,2.70T
SMRA,PT Summarecon Agung Tbk,6.50T,394.00,"55,627,400",Real Estate - Development,Real Estate,9.53T,2.05%,1.12T,560.37B
SMGA,PT Sumber Mineral Global Abadi Tbk,1.13T,129.00,"68,879,800",Industrial Materials,Materials,1.65T,114.82%,53.21B,-233.37B
HDFA,PT Radana Bhaskara Finance Tbk,955.20B,145.00,"8,503,300",Credit Services,Financials,332.47B,196.44%,-56.75B,-537.91B
SPTO,PT Surya Pertiwi Tbk,1.77T,665.00,"655,4","Furnishings, Fixtures & Appliances",Consumer Discretionary,2.81T,-1.45%,263.00B,104.31B
BACA,PT Bank Capital Indonesia Tbk,2.77T,140.00,841,Banks - Regional,Financials,1.07T,20.69%,91.49B,"-3,492.13B"
MIDI,PT Midi Utama Indonesia Tbk,13.51T,406.00,"7,985,000",Grocery Stores,Consumer Staples,20.48T,7.13%,670.28B,909.24B
DILD,PT Intiland Development Tbk,1.36T,131.00,"4,645,600",Real Estate - Development,Real Estate,2.27T,-10.28%,-197.62B,589.67B
AMAG,PT Asuransi Multi Artha Guna Tbk,1.88T,376.00,"244,3",Insurance - Property & Casualty,Financials,1.13T,-37.71%,243.32B,-
PLIN,PT Plaza Indonesia Realty Tbk,8.87T,"2,510.00",700,Real Estate Services,Real Estate,1.41T,3.58%,993.55B,698.03B
CASA,PT Capital Financial Indonesia Tbk,59.65T,"1,085.00","3,906,000",Insurance - Life,Financials,5.90T,-10.89%,109.54B,"-4,889.07B"
SUPR,PT Solusi Tunas Pratama Tbk,49.88T,"43,850.0",200,Real Estate Services,Real Estate,1.81T,-2.20%,1.17T,843.03B
AVIA,PT Avia Avian Tbk,27.56T,458.00,"138,352,400",Specialty Chemicals,Materials,7.99T,10.15%,1.69T,1.15T
EMAS,PT Merdeka Gold Resources Tbk,59.51T,"4,090.00","17,325,100",Gold,Materials,1.36B,25.49%,-407.29B,"-2,659.79B"
MYOH,PT Samindo Resources Tbk,3.50T,"1,585.00","2,3",Thermal Coal,Energy,2.77T,33.81%,151.25B,505.58B
ARNA,PT Arwana Citramulia Tbk,3.88T,550.00,"1,704,900",Building Products & Equipment,Industrials,2.88T,14.10%,412.25B,407.38B
BKSL,PT Sentul City Tbk,19.12T,112.00,"180,783,100",Real Estate - Development,Real Estate,1.15T,-34.70%,61.78B,350.87B
NATO,PT Surya Permata Andalan Tbk,1.18T,149.00,"160,8",Lodging,Consumer Discretionary,16.53B,-6.04%,-400.88M,1.45B
KINO,PT Kino Indonesia Tbk,1.76T,"1,275.00",10,Beverages - Non-Alcoholic,Consumer Staples,4.34T,-1.35%,137.12B,329.11B
SMSM,PT Selamat Sempurna Tbk,11.03T,"1,915.00","1,613,300",Auto Parts,Consumer Discretionary,5.27T,2.12%,1.12T,1.01T
CEKA,PT Wilmar Cahaya Indonesia Tbk.,1.48T,"2,490.00","20,2",Packaged Foods,Consumer Staples,9.44T,31.19%,266.93B,-199.01B
BALI,PT Bali Towerindo Sentra Tbk,4.90T,"1,185.00","49,3",Telecom Services,Communication Services,1.21T,21.53%,178.04B,294.14B
BEKS,"PT. Bank Pembangunan Daerah Banten, Tbk",1.40T,27.00,"42,814,400",Banks - Regional,Financials,355.01B,12.51%,42.57B,"-1,939.63B"
ASRI,PT Alam Sutera Realty Tbk,3.20T,162.00,"13,154,400",Real Estate - Development,Real Estate,2.57T,-35.70%,50.57B,1.27T
MAHA,PT Mandiri Herindo Adiperkasa Tbk,2.30T,140.00,"3,435,300",Trucking,Industrials,2.70T,10.06%,156.81B,628.24B
CTRA,PT Ciputra Development Tbk,16.50T,900.00,"15,428,800",Real Estate - Development,Real Estate,12.46T,27.51%,2.47T,896.02B
DMAS,PT Puradelta Lestari Tbk,6.41T,133.00,"16,264,700",Real Estate - Development,Real Estate,1.12T,-57.28%,735.63B,-159.67B
BBMD,PT Bank Mestika Dharma Tbk,8.42T,"2,090.00",700,Banks - Regional,Financials,981.03B,-8.41%,342.87B,82.07B
