Country,Exchange,Ticker,Full Company Name,Sector,Industry,ISIC_Section,ISIC_Description,Incorporated in,Market_Tier,Stock_Price,Volume,Market_Cap,MCap_USD_B,log_MCap,Exchange_Name,Country_RU,has_mcap,has_price,has_volume,has_isic,Revenue,Revenue_Growth,Net_Income,Free_Cash_Flow,Profit_Margin,FCF_Margin,Is_Profitable,PE_Ratio,Dividend_Yield,Cluster,PCA1,PCA2
Indonesia,IDX,ADMR,PT Alamtri Minerals Indonesia Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,1965.0,68185100.0,80333781336064.0,5.0208613335039995,32.01721133753302,IDX,Индонезия,1,1,1,True,16500000000000.0,-18.07,5140000000000.0,-5827140000000.0,31.151515151515152,-35.315999999999995,1.0,,,7,1.317833953490254,-0.006261377578321514
Indonesia,IDX,ADRO,Alamtri Resources Indonesia Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,2450.0,134662700.0,70561212399616.0,4.410075774976,31.887501710013705,IDX,Индонезия,1,1,1,True,14930000000000.0,-2.66,8320000000000.0,-27309860000000.0,55.72672471533825,-182.9193569993302,1.0,,,7,1.2994629788671028,-0.008555825019815194
Indonesia,IDX,AEGS,PT Anugerah Spareparts Sejahtera Tbk.,Barang Konsumen Non-Primer,Komponen Otomotif,C,Manufacturing,INDONESIA,,42.0,7018800.0,42255388672.0,0.0026409617919999997,24.46699772514928,IDX,Индонезия,1,1,1,True,28890000000.0,-8.24,597620000.0,-4900000000.0,2.068605053651783,-16.960886119764623,1.0,,,3,0.03669498820172025,0.7865162381658519
Indonesia,IDX,AGAR,PT Asia Sejahtera Mina Tbk,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,206.0,101100.0,205999996928.0,0.012874999808,26.05114199082337,IDX,Индонезия,1,1,1,True,283630000000.0,-1.74,2160000000.0,14040000000.0,0.761555547720622,4.950111060184042,1.0,,,8,0.4167050581650459,-0.15231070476894468
Indonesia,IDX,AGII,PT Samator Indo Gas Tbk,Barang Baku,Barang Kimia,C,Manufacturing,INDONESIA,,3400.0,1978400.0,10426644430848.0,0.651665276928,29.97538561034397,IDX,Индонезия,1,1,1,True,2990000000000.0,3.87,84580000000.0,-61070000000.0,2.8287625418060203,-2.04247491638796,1.0,,,3,0.8168564610909769,0.8839546992242482
Indonesia,IDX,AGRO,PT Bank Raya Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,181.0,8566600.0,4478029266944.0,0.27987682918400003,29.130204169801484,IDX,Индонезия,1,1,1,True,707620000000.0,0.31,58990000000.0,-180730000000.0,8.336395240383258,-25.540544359967214,1.0,,,10,0.9156453929260591,-0.08880232444311599
Indonesia,IDX,AGRS,PT Bank IBK Indonesia Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,69.0,2095900.0,3302642679808.0,0.206415167488,28.825744075985117,IDX,Индонезия,1,1,1,True,719510000000.0,11.76,206150000000.0,-1236530000000.0,28.651443343386475,-171.85723617461883,1.0,,,10,0.8725242402080017,-0.09418795152920002
Indonesia,IDX,AHAP,Asuransi Harta Aman Pratama Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,104.0,18031100.0,509599973376.0,0.031849998335999996,26.956891888959465,IDX,Индонезия,1,1,1,True,274230000000.0,-3.54,-2350000000.0,,-0.8569449002661998,,0.0,,,10,0.6078358222479964,-0.12724627727616428
Indonesia,IDX,AIMS,PT Artha Mahiya Investama Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,400.0,1077800.0,88000004096.0,0.005500000256,25.200602697970073,IDX,Индонезия,1,1,1,True,1370000000.0,674.47,-795320000.0,,-58.05255474452555,,0.0,,,7,0.35238715722436287,-0.12684109515078973
Indonesia,IDX,AISA,PT FKS Food Sejahtera Tbk,Barang Konsumen Primer,Makanan Olahan,C,Manufacturing,INDONESIA,,119.0,2116500.0,452880695296.0,0.028305043456,26.83889456195009,IDX,Индонезия,1,1,1,True,1940000000000.0,4.47,93060000000.0,151570000000.0,4.796907216494845,7.812886597938144,1.0,,,3,0.3726303958576549,0.8284729743986673
