Country,Exchange,Ticker,Full Company Name,Sector,Industry,ISIC_Section,ISIC_Description,Incorporated in,Market_Tier,Stock_Price,Volume,Market_Cap,MCap_USD_B,log_MCap,Exchange_Name,Country_RU,has_mcap,has_price,has_volume,has_isic,Revenue,Revenue_Growth,Net_Income,Free_Cash_Flow,Profit_Margin,FCF_Margin,Is_Profitable,PE_Ratio,Dividend_Yield,Cluster
Indonesia,IDX,SULI,PT SLJ Global Tbk,Barang Baku,Perhutanan & Kertas,A,"Agriculture, forestry and fishing",INDONESIA,,94.0,1097900.0,594152980480.0,0.03713456128,27.110402666046202,IDX,Индонезия,1,1,1,True,185170000000.0,-6.0,-98970000000.0,-91940000000.0,-53.44818275098559,-49.651671437057836,0.0,,,0
Indonesia,IDX,SUNI,PT Sunindo Pratama Tbk,Energi,"Pendukung Minyak, Gas & Batu Bara",B,Mining and quarrying,INDONESIA,,800.0,504400.0,1999999991808.0,0.124999999488,28.324168292392493,IDX,Индонезия,1,1,1,True,961790000000.0,-11.43,184540000000.0,-70960000000.0,19.187140644007528,-7.377909938760021,1.0,,,0
Indonesia,IDX,SUPR,Solusi Tunas Pratama Tbk,Infrastruktur,Jasa Telekomunikasi Nirkabel,J,Information and communication,INDONESIA,,43850.0,200.0,49882865860608.0,3.117679116288,31.540698690194315,IDX,Индонезия,1,1,1,True,1810000000000.0,-2.2,1170000000000.0,843030000000.0,64.64088397790056,46.576243093922656,1.0,,,0
Indonesia,IDX,SURE,PT Super Energy Tbk.,Energi,Minyak & Gas,B,Mining and quarrying,INDONESIA,,2730.0,100.0,4088384716800.0,0.2555240448,29.03917107320826,IDX,Индонезия,1,1,1,True,437110000000.0,29.29,-112030000000.0,-234020000000.0,-25.62970419345245,-53.53801102697262,0.0,,,0
Indonesia,IDX,SURI,PT Maja Agung Latexindo Tbk.,Kesehatan,Peralatan & Perlengkapan Kesehatan,Q,Human health and social work activities,INDONESIA,,57.0,1419200.0,361059385344.0,0.022566211584,26.612308284088215,IDX,Индонезия,1,1,1,True,148510000000.0,34.49,-2890000000.0,5270000000.0,-1.9459969025654837,3.5485825870311767,0.0,,,0
Indonesia,IDX,SWAT,PT Sriwahana Adityakarta Tbk.,Barang Baku,Perhutanan & Kertas,A,"Agriculture, forestry and fishing",INDONESIA,,16.0,204000.0,48307200000.0,0.0030192,24.600846454818342,IDX,Индонезия,1,1,1,True,181940000000.0,-32.33,-29760000000.0,-28830000000.0,-16.357040782675607,-15.845883258216995,0.0,,,0
Indonesia,IDX,SWID,PT Saraswanti Indoland Development Tbk,Barang Konsumen Non-Primer,Pariwisata & Rekreasi,I,Accommodation and food service activities,INDONESIA,,90.0,475500.0,484651761664.0,0.030290735104000002,26.906696452798467,IDX,Индонезия,1,1,1,True,168530000000.0,21.52,37400000000.0,-6280000000.0,22.191894618168874,-3.7263395241203345,1.0,,,0
Indonesia,IDX,TALF,PT Tunas Alfin Tbk,Barang Baku,Wadah & Kemasan,C,Manufacturing,INDONESIA,,520.0,47500.0,703786188800.0,0.043986636800000006,27.2797404378846,IDX,Индонезия,1,1,1,True,1410000000000.0,8.47,33800000000.0,50180000000.0,2.397163120567376,3.55886524822695,1.0,,,0
Indonesia,IDX,TAMA,PT Lancartama Sejati Tbk.,Infrastruktur,Konstruksi Bangunan,F,Construction,INDONESIA,,113.0,11927700.0,135600070656.0,0.008475004416,25.632975733514517,IDX,Индонезия,1,1,1,True,21660000000.0,-7.93,-10480000000.0,-5680000000.0,-48.38411819021237,-26.223453370267773,0.0,,,0
Indonesia,IDX,TAPG,PT Triputra Agro Persada Tbk.,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,1745.0,19166400.0,34642681921536.0,2.165167620096,31.17610761930294,IDX,Индонезия,1,1,1,True,11640000000000.0,36.43,4180000000000.0,2860000000000.0,35.9106529209622,24.570446735395187,1.0,,,0
