Country,Exchange,Ticker,Full Company Name,ISIC_Section,Market_Cap_USD,Volume,turnover,KMeans,Hierarchical,GMM,DBSCAN
Indonesia,IDX,GGRM,Gudang Garam Tbk,C,1683577110.528,602700.0,0.0003579877608403588,0,1,0,0
Indonesia,IDX,GGRP,PT Gunung Raja Paksi Tbk.,B,224060456.96,445200.0,0.0019869637241678863,0,1,1,0
Indonesia,IDX,GHON,PT Gihon Telekomunikasi Indonesia Tbk,J,61703127.04,8500.0,0.00013775638946936586,0,1,0,0
Indonesia,IDX,GIAA,Garuda Indonesia (Persero) Tbk,H,400228417.536,41337100.0,0.10328377043911877,1,0,1,0
Indonesia,IDX,GJTL,Gajah Tunggal Tbk,C,226486550.528,1478400.0,0.006527539920376989,0,1,0,0
Indonesia,IDX,GLOB,PT Globe Kita Terang Tbk,C,10763896.832,124000.0,0.01151999149893004,0,1,0,0
Indonesia,IDX,GLVA,PT Galva Technologies Tbk,J,31875000.32,12800.0,0.0004015686234195464,0,1,0,0
Indonesia,IDX,GMFI,PT Garuda Maintenance Facility Aero Asia Tbk.,H,452527816.704,21301100.0,0.04707136050806159,1,0,1,0
Indonesia,IDX,GMTD,Gowa Makassar Tourism Development Tbk,L,91384201.216,18600.0,0.00020353627599190984,0,1,0,0
Indonesia,IDX,GOLD,PT Visi Telekomunikasi Infrastruktur Tbk.,J,22192670.72,36400.0,0.0016401811417494866,0,1,0,0
Indonesia,IDX,GOLF,PT Intra GolfLink Resorts Tbk,C,213136441.344,5668100.0,0.026593762963564478,1,0,1,0
Indonesia,IDX,GOLL,PT Golden Plantation Tbk,C,11453124.608,0.0,0.0,0,1,0,0
Indonesia,IDX,GOOD,PT Garudafood Putra Putri Jaya Tbk.,C,792868487.168,105700.0,0.00013331340784843596,0,1,0,0
Indonesia,IDX,GOTO,PT GoTo Gojek Tokopedia Tbk,J,3385157484.544,11523704.0,0.0034041854928803434,0,1,0,0
Indonesia,IDX,GPRA,Perdana Gapura Prima Tbk,L,27263678.464,19986200.0,0.7330705585598267,1,0,1,0
Indonesia,IDX,GPSO,PT Geoprima Solusi Tbk,C,12751423.488,11168300.0,0.8758473130870579,1,0,1,0
Indonesia,IDX,GRIA,PT Ingria Pratama Capitalindo Tbk,L,44254322.688,293400.0,0.006629860817631682,0,1,0,0
Indonesia,IDX,GRPH,PT Griptha Putra Persada Tbk.,C,3187500.032,13651900.0,4.2829489766103945,1,0,1,0
Indonesia,IDX,GRPM,PT Graha Prima Mentari Tbk.,C,27275735.04,4201200.0,0.15402701316165887,1,0,1,0
Indonesia,IDX,GSMF,Equity Development Investment Tbk,K,76488400.896,1202300.0,0.015718723177841662,0,1,0,0
Indonesia,IDX,GTBO,Garda Tujuh Buana Tbk,D,31249999.872,72800.0,0.0023296000095420414,0,1,0,0
Indonesia,IDX,GTRA,PT Grahaprima Suksesmandiri Tbk,H,25810860.032,236200.0,0.009151186737178149,0,1,1,0
Indonesia,IDX,GTSI,PT GTS Internasional Tbk,D,180931444.736,88099700.0,0.4869231002302983,1,0,1,0
Indonesia,IDX,GULA,PT Aman Agrindo Tbk,C,18597548.032,381900.0,0.020534965111684674,0,0,0,0
Indonesia,IDX,GUNA,PT Gunanusa Eramandiri Tbk,C,34062499.84,388700.0,0.01141137620039105,0,1,0,0
Indonesia,IDX,GWSA,PT Greenwood Sejahtera Tbk,C,68256649.216,804400.0,0.011784932445987124,0,1,0,0
Indonesia,IDX,GZCO,Gozco Plantations Tbk,C,64499998.72,5760000.0,0.08930232735359657,1,0,1,0
Indonesia,IDX,HADE,PT Himalaya Energi Perkasa Tbk,B,3047500.032,4243200.0,1.392354374223022,1,0,1,0
Indonesia,IDX,HAIS,PT Hasnur Internasional Shipping Tbk,H,34469531.648,2541200.0,0.0737230788613702,1,0,1,0
Indonesia,IDX,HAJJ,PT Arsy Buana Travelindo Tbk,C,18203901.952,8104400.0,0.44520125527865734,1,0,1,0
Indonesia,IDX,HALO,PT Haloni Jane Tbk,Q,26594441.216,1358900.0,0.05109714428526687,1,0,0,0
Indonesia,IDX,HATM,PT Habco Trans Maritima Tbk,H,168174993.408,26890400.0,0.15989535337612706,1,0,1,0
Indonesia,IDX,HBAT,PT Minahasa Membangun Hebat Tbk,L,19383797.76,7140400.0,0.36836950572889177,1,0,1,0
Indonesia,IDX,HDFA,Radana Bhaskara Finance Tbk,K,36392353.792,208200.0,0.005720981973025549,0,1,0,0
Indonesia,IDX,HDIT,PT Hensel Davest Indonesia Tbk,J,4955209.728,11479700.0,2.3166930624818147,1,0,1,0
Indonesia,IDX,HEAL,PT Medikaloka Hermina Tbk.,Q,1272492720.128,13958600.0,0.010969493011005913,0,1,0,0
Indonesia,IDX,HELI,PT Jaya Trishindo Tbk,H,9994348.544,403100.0,0.04033279390100886,1,0,1,0
Indonesia,IDX,HERO,PT DFI Retail Nusantara Tbk,C,105636757.504,543000.0,0.005140256221698579,0,1,0,0
Indonesia,IDX,HEXA,Hexindo Adiperkasa Tbk,C,227849994.24,246900.0,0.0010836076639964018,0,1,0,0
Indonesia,IDX,HGII,PT Hero Global Investment Tbk,D,57281249.28,526100.0,0.009184506389313162,0,1,0,0
Indonesia,IDX,HILL,PT Hillcon Tbk,D,17505531.904,409851600.0,23.412690471081845,1,0,1,0
Indonesia,IDX,HITS,Humpuss Intermoda Transportasi Tbk,D,51482865.664,16009800.0,0.31097336547827487,1,0,1,0
